Text_ID	Tree_ID	Token_ID	Token	Speaker	Word_span	Wordform	Lemma	POS	Mood	Tense	Person	Number	Gender	ID_dep	Type_dep	ID_plain	Type_plain	ID_junc	Type_junc	ID_para	Type_para	ID_inherited	Type_inherited	ID_junc_inherited	Type_junc_inherited	Layer	IU	Nucleus	Prenucleus	Gov_nucleus	Innucleus	Gov_innucleus	Postnucleus	Gov_postnucleus	IU_parenthesis	IU_graft	IU_embedded	Associated_nucleus	Intro_IU	Period	Period_tone	Package	Package_type	Package_tone	Group	Group_type	Group_tone	Foot	Foot_type	Foot_tone	Syllable	Syllable_tone	Prominence_initial	Prominence_final	Hesitation	Pause_length	Tmin	Tmax	Syllable_length	Syllable_length_avg	Pitch	Pitch_avg
D2007			 			 	 																																																							
D2007	1	1	alors	$L1	B	alors	alors	Adv						0	root	0	root									O	B	O	U	O	O	O	O	O	O	O	O	O	O	B	llm2	B	included	llh2	B	weak	lm	B	weak	lm	U	ll	0	0			0	0.086711	52.559	61.321000000000005	87.39627600463581	89.03867427902253
D2007	1	2	 			 	 																																																							
D2007	1	3	vous	$L1	B	vous	vous	Cl			2	pl		5	sub	5	sub									O	I	B	O	O	O	O	O	O	O	O	O	O	O	I	llm2	I	included	llh2	I	weak	lm	I	weak	lm	U	ll	0	0			0.086711	0.196522	85.00000000000001	74.34249999999999	89.84149840487576	89.8769684740247
D2007	1	4	 			 	 																																																							
D2007	1	5	étiez	$L1	B	étiez	être	V	indicative	imperfect	2	pl		0	root	0	root									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	llm2	I	included	llh2	L	weak	lm	L	weak	lm	U	hm	W	W			0.196522	0.326522	89.99999999999997	85.68	91.96878518921588	90.49384403841783
D2007	1	6	 			 	 																																																							
D2007	1	7	un	$L1	B	un	un	D				sg	masc	9	dep	9	dep									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	llm2	I	included	llh2	B	weak	mm	B	weak	mm	U	ml	0	0			0.326522	0.416522	90.00000000000003	108.22725	91.90696254907776	91.46679274636116
D2007	1	8	 			 	 																																																							
D2007	1	9	peu	$L1	B	peu	peu	N				sg	masc	11	ad	11	ad									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	llm2	I	included	llh2	I	weak	mm	I	weak	mm	U	mm	0	0			0.416522	0.519431	102.90899999999998	126.25000000000003	91.99106504654853	91.7972660121885
D2007	1	10	 			 	 																																																							
D2007	1	11	choquée	$L1	B	choquée	choqué	V	past_participle			sg	fem	5	pred	5	pred									O	I	L	O	O	O	O	O	O	O	O	O	O	O	I	llm2	I	included	llh2	L	weak	mm	L	weak	mm	U	mm	0	W			0.519431	0.844431	170.00000000000003	129.47725	91.24749396565582	90.35541902073157
D2007	1	12	 			 	 																																																							
D2007	1	13	quand	$L1	B	quand même	quand même	Adv						0	root	0	root									O	I	O	O	O	O	O	B	O	O	O	O	O	O	I	llm2	L	included	llh2	U	strong	ml	U	strong	ml	U	ml	0	0			0.844431	0.974431	130.0	156.91724999999997	89.57271678463047	89.38818815514897
D2007	1	14	 		I																																																									
D2007	1	15	même	$L1	I																					O	I	O	O	O	O	O	I	O	O	O	O	O	O	I	llm2	B	motherless	ll	B	weak	ll	B	weak	ll	B	ll	S	S			0.974431	1.174431	129.9999999999999	157.55633333333333	87.79207190694274	89.08919171782637
D2007	1	16	 			 	 																																																							
D2007	1	17	hein	$L1	B	hein	hein	I						0	root	0	root									O	I	O	O	O	O	O	I	O	O	O	O	U	O	L	llm2	L	motherless	ll	L	weak	ll	L	weak	ll	L	ll	W	W		2.9116	1.174431	1.2771	172.66899999999995	129.99999999999994	86.4473644031928	88.6823943457866
D2007	1	18	 			 	 																																																							
D2007	1	19	non	$L1	B	non mais	non mais	I						0	root	0	root									O	I	O	O	O	O	O	I	O	O	O	O	B	O	B	Hm	B	tail	Hm	B	tail	Hm	B	tail	Hm	U	Hh	_	0			4.1887	4.3837	195.00000000000028	119.0500000000001	96.19808484640726	95.78058288319119
D2007	1	20	 		I																																																									
