Text_ID	Tree_ID	Token_ID	Token	Speaker	Word_span	Wordform	Lemma	POS	Mood	Tense	Person	Number	Gender	ID_dep	Type_dep	ID_plain	Type_plain	ID_junc	Type_junc	ID_para	Type_para	ID_inherited	Type_inherited	ID_junc_inherited	Type_junc_inherited	Layer	IU	Nucleus	Prenucleus	Gov_nucleus	Innucleus	Gov_innucleus	Postnucleus	Gov_postnucleus	IU_parenthesis	IU_graft	IU_embedded	Associated_nucleus	Intro_IU	Period	Period_tone	Package	Package_type	Package_tone	Group	Group_type	Group_tone	Foot	Foot_type	Foot_tone	Syllable	Syllable_tone	Prominence_initial	Prominence_final	Hesitation	Pause_length	Tmin	Tmax	Syllable_length	Syllable_length_avg	Pitch	Pitch_avg
M0003			 			 	 																																																							
M0003	1	1	alors	$L1	B	alors	alors	Adv						0	root	0	root									O	B	O	U	O	O	O	O	O	O	O	O	O	O	B	mhl1	B	included	mlh2	B	weak	mmh2	B	strong	mh	B	ml	0	W			1.164209	1.476991	163.00400000000016	134.94966666666662	90.78522758723207	90.79643096885846
M0003	1	2	 			 	 																																																							
M0003	1	3	euh	$L1	B	euh	euh	I						0	root	0	root									O	I	O	B	O	O	O	O	O	O	O	O	U	O	I	mhl1	I	included	mlh2	I	weak	mmh2	I	strong	mh	L	ml	0	0	H		1.476991	1.573428	180.90399999999994	134.71474999999998	90.47966847578866	91.3735649574287
M0003	1	4	 			 	 																																																							
M0003	1	5	la	$L1	B	la	le	D				sg	fem	7	dep	7	dep									O	I	O	I	O	O	O	O	O	O	O	O	O	O	I	mhl1	I	included	mlh2	I	weak	mmh2	L	strong	mh	U	lm	0	0			1.573428	1.732062	158.63399999999993	165.83300000000006	91.46330231630458	91.95782241619013
M0003	1	6	 			 	 																																																							
M0003	1	7	cathédrale	$L1	B	cathédrale	cathédrale	N				sg	fem	0	root	0	root									O	I	O	I	O	O	O	O	O	O	O	O	O	O	I	mhl1	I	included	mlh2	L	weak	mmh2	U	weak	hm	U	mm	S	W			1.732062	2.294209	242.7229999999998	180.24175000000008	92.80333929406574	92.08018250265866
M0003	1	8	 			 	 																																																							
M0003	1	9	Notre	$L1	B	Notre-Dame	Notre-Dame	N				sg	fem	7	dep	7	dep									O	I	O	I	O	O	O	O	O	O	O	O	O	O	I	mhl1	L	included	mlh2	U	strong	ml	U	strong	ml	U	ml	0	S			2.294209	2.695752	189.95499999999987	187.74699999999999	89.79421832993164	89.82086654404642
M0003	1	10	-	$L1	I																					O	I	O	I	O	O	O	O	O	O	O	O	O	O	I	mhl1	B	motherless	ll	B	weak	ll	B	weak	ll	B	ll	0	S			2.695752	2.961055	189.95499999999987	187.74699999999999	89.79421832993164	89.82086654404642
M0003	1	11	Dame	$L1	I																					O	I	O	L	O	O	O	O	O	O	O	O	O	O	I	mhl1	L	motherless	ll	L	weak	ll	L	weak	ll	L	ll	0	S			2.695752	2.961055	189.95499999999987	187.74699999999999	89.79421832993164	89.82086654404642
M0003	1	12	 			 	 																																																							
M0003	1	13	alors	$L1	B	alors	alors	Adv						0	root	0	root									O	I	O	U	O	O	O	O	O	O	O	O	O	O	I	mhl1	B	motherless-dis-weak	mL	B	dis-weak	mL	B	dis-weak	mL	B	mL	0	W			2.961055	3.364871	183.9529999999998	328.7682500000001	88.62952542843007	89.04915348471081
M0003	1	14	 			 	 																																																							
M0003	1	15	euh	$L1	B	euh	euh	I						0	root	0	root									O	I	O	B	O	O	O	O	O	O	O	O	U	O	I	mhl1	L	motherless-dis-weak	mL	L	dis-weak	mL	L	dis-weak	mL	L	mL	W	W	H		3.364871	4.060175	825.0230000000003	193.33299999999986	87.72985542238078	89.52177413214747
M0003	1	16	 			 	 																																																							
M0003	1	17	en	$L1	B	en fait	en fait	Adv						0	root	0	root									O	I	O	I	O	O	O	O	O	O	O	O	O	O	I	mhl1	U	lone	mm	U	strong	mm	U	strong	mm	U	ml	0	0			4.060175	4.194778	134.60300000000024	399.28074999999984	89.77293584767001	89.51078259054592
M0003	1	18	 		I																																																									
M0003	1	19	fait	$L1	I																					O	I	O	L	O	O	O	O	O	O	O	O	O	O	I	mhl1	B	lone	mml1	B	strong	mml1	B	strong	mml1	B	mml2	S	S			4.194778	4.56261	289.2839999999994	385.0275000000002	90.78503091362899	89.91757181392748
M0003	1	20	 			 	 																																																							
M0003	1	21	elle	$L1	B	elle	lui	Cl			3	sg	fem	23	sub	23	sub									O	I	B	O	O	O	O	O	O	O	O	O	O	O	I	mhl1	I	lone	mml1	I	strong	mml1	I	strong	mml1	L	mml2	0	0	H		4.56261	4.782925	298.8629999999999	230.22925000000006	90.8987185977439	90.86768116369461
M0003	1	22	 			 	 																																																							
M0003	1	23	&		B	&	&	V	indicative	present	3	sg		0	root	0	root																																													
M0003			 			 	 																																																							
M0003	2	1	donc	$L1	B	donc	donc	Adv						0	root	0	root									O	B	O	U	O	O	O	O	O	O	O	O	O	O	I	mhl1	I	lone	mml1	I	strong	mml1	I	strong	mml1	U	mm	0	0			4.782925	5.064546	281.6210000000003	275.3947499999998	91.26877738791524	90.90515233257412
M0003	2	2	 			 	 																																																							
