Text_ID	Tree_ID	Token_ID	Token	Speaker	Word_span	Wordform	Lemma	POS	Mood	Tense	Person	Number	Gender	ID_dep	Type_dep	ID_plain	Type_plain	ID_junc	Type_junc	ID_para	Type_para	ID_inherited	Type_inherited	ID_junc_inherited	Type_junc_inherited	Layer	IU	Nucleus	Prenucleus	Gov_nucleus	Innucleus	Gov_innucleus	Postnucleus	Gov_postnucleus	IU_parenthesis	IU_graft	IU_embedded	Associated_nucleus	Intro_IU	Period	Period_tone	Package	Package_type	Package_tone	Group	Group_type	Group_tone	Foot	Foot_type	Foot_tone	Syllable	Syllable_tone	Prominence_initial	Prominence_final	Hesitation	Pause_length	Tmin	Tmax	Syllable_length	Syllable_length_avg	Pitch	Pitch_avg
D0001			 			 	 																																																							
D0001	1	1	est	$L1	B	est	être	V	indicative	present	3	sg		0	root	0	root									O	B	B	O	O	O	O	O	O	O	O	O	O	O	B	mml2	B	lone-dis-strong	hmm2	B	dis-strong	hmm2	B	dis-strong	hmm2	B	Hh	0	0			2.2265	2.2665	189.99999999999994	114.99999999999999	97.16526451681739	95.04111744094945
D0001	1	2	-	$L1	B	-ce	ce	Cl			3	sg	masc	1	sub	1	sub									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mml2	I	lone-dis-strong	hmm2	I	dis-strong	hmm2	I	dis-strong	hmm2	I	Hh	0	0			2.2665	2.4165	189.99999999999994	114.99999999999999	97.16526451681739	95.04111744094945
D0001	1	3	ce	$L1	I																					O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mml2	I	lone-dis-strong	hmm2	I	dis-strong	hmm2	I	dis-strong	hmm2	L	Hh	0	0			2.2665	2.4165	189.99999999999994	114.99999999999999	97.16526451681739	95.04111744094945
D0001	1	4	 			 	 																																																							
D0001	1	5	que	$L1	B	que	que	CS						1	pred	1	pred									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mml2	I	lone-dis-strong	hmm2	I	dis-strong	hmm2	I	dis-strong	hmm2	U	mm	0	0			2.4165	2.4765	60.00000000000006	149.99999999999991	95.7092622540029	95.0338158941106
D0001	1	6	 			 	 																																																							
D0001	1	7	vous	$L1	B	vous	vous	Cl			2	pl		9	sub	9	sub									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mml2	I	lone-dis-strong	hmm2	I	dis-strong	hmm2	I	dis-strong	hmm2	U	mm	0	0			2.4765	2.6465	169.99999999999994	224.99999999999997	94.37297262789603	95.42746086466566
D0001	1	8	 			 	 																																																							
D0001	1	9	pourriez	$L1	B	pourriez	pouvoir	V	indicative	conditional	2	pl		5	dep	5	dep									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mml2	L	lone-dis-strong	hmm2	L	dis-strong	hmm2	L	dis-strong	hmm2	U	mmh2	0	S	H	0.1791	2.6465	3.2965	560.0	129.9999999999999	95.27210615022403	93.9680915827572
D0001	1	10	 			 	 																																																							
D0001	1	11	décrire	$L1	B	décrire	décrire	V	infinitive			sg		9	pred	9	pred									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mml2	U	filled-dis	mhH3	U	filled-dis	mhH3	U	filled-dis	mhH3	U	mhH3	_	S		0.6573	3.4756	4.3158	675.2000000000003	165.00000000000003	93.45412623250041	93.45843429295626
D0001	1	12	 			 	 																																																							
D0001	1	13	euh	$L1	B	euh	euh	I						0	root	0	root									O	I	I	O	O	O	O	O	O	O	O	O	U	O	I	mml2	U	filled-pause	ll	U	filled-pause	ll	U	filled-pause	ll	U	ll	_	0	H		4.9731	5.732	758.9000000000005	150.1635000000001	90.00884715462206	91.46264206043077
D0001	1	14	 			 	 																																																							
D0001	1	15	les	$L1	B	les	le	D				pl	masc	17	dep	17	dep									B	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mml2	B	included	lmm2	B	weak	lm	U	weak	lm	U	ll	0	0			5.732	5.882	149.99999999999946	436.3000000000004	90.79623517430585	91.40273641897215
D0001	1	16	 			 	 																																																							
D0001	1	17	déplacements	$L1	B	déplacements	déplacement	N				pl	masc	11	obj	11	obj									L	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mml2	I	included	lmm2	L	weak	lm	U	weak	lm	U	lm	W	W			5.882	6.622	189.9999999999995	202.5000000000001	91.24671430807504	92.47033352862408
D0001	1	18	 			 	 																																																							
D0001	1	19	avec	$L1	B	avec	avec	Pre						11	ad	11	ad									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mml2	L	included	lmm2	U	strong	mm	U	strong	mm	U	mm	0	S			6.622	6.882	189.9999999999995	152.50000000000009	92.96454949871337	92.71273104966176
D0001	1	20	 			 	 																																																							
D0001	1	21	précision	$L1	B	précision	précision	N				sg	fem	19	dep	19	dep									O	L	L	O	O	O	O	O	O	O	O	O	O	O	L	mml2	U	motherless	mHm3	U	weak	mHm3	U	weak	mHm3	U	mH	0	W		1.7354	6.882	7.4759	243.9	175.00000000000026	92.96589322984492	93.44339368854173
D0001	1	22	 			 	 																																																							
D0001	1	23	une	$L1	B	une	un	D				sg	fem	25	dep	25	dep									B	B	B	O	O	O	O	O	O	O	O	O	O	O	B	mm	B	lone	mm	B	strong	mm	B	strong	mm	U	mm	_	0			9.2113	9.3563	144.99999999999957	283.2500000000007	94.08546637351772	94.05277653516754
D0001	1	24	 			 	 																																																							
D0001	1	25	journée	$L1	B	journée	journée	N				sg	fem	17	para_hyper					17	para_hyper	11	obj_inherited			I	I	I	O	O	O	O	O	O	O	O	O	O	O	L	mm	L	lone	mm	L	strong	mm	L	strong	mm	U	mmh2	0	S			9.3563	9.9228	376.50000000000006	165.08900000000006	94.43201717151356	89.49600855893394
D0001	1	26	 			 	 																																																							
D0001	1	27	eh	$L2	B	eh ben	eh ben	I						0	root	0	root									I	B	B	O	O	O	O	O	O	B	O	O	B	O	B	ml	B	motherless-dis-weak	Hhm1	B	dis-weak	Hhm1	B	dis-weak	Hhm1	U	Hm	0	0	H		9.9228	10.040112	117.31200000000008	261.047	87.52500267387391	88.5504527910396
D0001	1	28	 		I																																																									
D0001	1	29	ben	$L2	I																					I	I	I	O	O	O	O	O	O	I	O	O	L	O	I	ml	L	motherless-dis-weak	Hhm1	L	dis-weak	Hhm1	L	dis-weak	Hhm1	U	mh	W	W	H		10.040112	10.248156	208.04399999999924	265.8640000000001	82.70002928952262	87.73433994347636
D0001	1	30	 			 	 																																																							
D0001	1	31	XXX	$L2	B	XXX	XXX	X						0	root	0	root									I	I	I	O	O	O	O	O	O	I	O	O	O	O	I	ml	B	lone-dis-strong	hhm2	B	dis-strong	hhm2	B	dis-strong	hhm2	U	hm	%	%	%		10.248156	10.5178	269.64399999999955	191.33900000000014	83.39622880430073	85.14021483567728
D0001	1	32	 			 	 																																																							
D0001	1	33	soit	$L2	B	soit	soit	J						0	root	0	root									I	I	I	O	O	O	O	O	O	I	O	O	O	O	I	ml	L	lone-dis-strong	hhm2	L	dis-strong	hhm2	L	dis-strong	hhm2	U	mhH2	S	S	H		10.5178	10.8178	300.0000000000007	210.44699999999983	85.58411112421723	83.40618027307085
D0001	1	34	 			 	 																																																							
D0001	1	35	on	$L2	B	on	on	Cl			3	sg	masc	37	sub	37	sub									I	I	I	O	O	O	O	O	O	I	O	O	O	O	I	ml	B	lone-dis-strong	hm	B	dis-strong	hm	U	dis-weak	hm	U	hm	0	0	H		10.8178	10.9578	140.00000000000057	291.91099999999983	84.75171625509536	83.48649064942438
D0001	1	36	 			 	 																																																							
D0001	1	37	travaille	$L2-$L1	B	travaille	travailler	V	indicative	present	3	sg		33	dep	33	dep									I	L	L	O	O	O	O	O	O	L	O	O	O	O	I	ml	I	lone-dis-strong	hm	I	dis-strong	hm	B	dis-strong	mlm1	B	mlm1	W	S	H		10.9578	11.5558	373.899999999999	193.52500000000018	82.1888759258149	83.46026094720524
D0001	1	38	 			 	 																																																							
D0001	1	39	par	$L2-$L1	B	par	par	Pre						11	ad	11	ad									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	ml	I	lone-dis-strong	hm	I	dis-strong	hm	I	dis-strong	mlm1	I	mlm1	0	S	H		10.9578	11.5558	373.899999999999	193.52500000000018	82.1888759258149	83.46026094720524
D0001	1	40	 			 	 																																																							
D0001	1	41	exemple	$L2-$L1	B	exemple	exemple	N				sg	masc	39	dep	39	dep									L	L	L	O	O	O	O	O	O	O	O	O	O	O	I	ml	L	lone-dis-strong	hm	L	dis-strong	hm	L	dis-strong	mlm1	L	mlm1	0	S	H		10.9578	11.5558	373.899999999999	193.52500000000018	82.1888759258149	83.46026094720524
D0001			 			 	 																																																							
D0001	2	1	soit	$L2	B	soit	soit	J						0	root	0	root									O	B	O	O	O	O	O	O	O	O	O	O	O	U	I	ml	B	lone	hm	B	strong	hm	B	weak	hm	U	lh	0	0			11.5558	11.8558	300.0000000000007	234.49999999999972	83.49792374076813	82.5269566328162
D0001	2	2	 			 	 																																																							
D0001	2	3	on	$L2	B	on	on	Cl			3	sg	masc	5	sub	5	sub									O	I	B	O	O	O	O	O	O	O	O	O	O	O	I	ml	I	lone	hm	I	strong	hm	L	weak	hm	U	hm	0	0			11.8558	11.9658	109.99999999999943	290.97499999999997	82.81465704959282	82.40072315528428
D0001	2	4	 			 	 																																																							
D0001	2	5	travaille	$L2	B	travaille	travailler	V	indicative	present	3	sg		1	dep	1	dep									O	L	L	O	O	O	O	O	O	O	O	O	O	O	I	ml	L	lone	hm	L	strong	hm	U	strong	mm	U	mm	W	S			11.9658	12.4558	259.9999999999998	180.00000000000017	81.58854614206176	81.38267752133189
D0001			 			 	 																																																							
D0001	3	1	donc	$L2	B	donc	donc	Adv						0	root	0	root									O	B	O	U	O	O	O	O	O	O	O	O	O	O	I	ml	B	tail	mm	B	tail	mm	B	tail	mm	U	mm	0	0			12.4558	12.6458	189.9999999999995	209.12500000000023	80.48610512918404	80.9292579604085
D0001	3	2	 			 	 																																																							
D0001	3	3	moi	$L2	B	moi	moi	Pro			1	sg		0	root	0	root									O	I	O	U	O	O	O	O	O	O	O	O	O	O	I	ml	I	tail	mm	I	tail	mm	I	tail	mm	U	mm	0	0			12.6458	12.8358	190.00000000000128	202.16666666666623	79.9024010940583	80.65772968808912
D0001	3	4	 			 	 																																																							
D0001	3	5	ben	$L2	B	ben	ben	I						0	root	0	root									O	I	B	O	O	O	O	O	O	O	O	O	U	O	I	ml	L	tail	mm	L	tail	mm	L	tail	mm	U	ml	0	0	H	0.2695	12.8358	12.9923	156.49999999999943	190.0000000000004	79.89853779302155	80.19425311162118
D0001	3	6	 			 	 																																																							
D0001	3	7	je	$L2	B	je	je	Cl			1	sg		9	sub	9	sub									B	I	I	O	O	O	O	O	O	O	O	O	O	O	I	ml	B	motherless-dis-weak	mm	B	dis-weak	mm	B	dis-weak	mm	U	mm	_	0	H		13.2618	13.3868	125.0	190.0000000000004	80.31403827687795	80.35816675445693
D0001	3	8	 			 	 																																																							
D0001	3	9	vais	$L2	B	vais	aller	V	indicative	present	1	sg		0	root	0	root									L	I	I	O	O	O	O	O	O	O	O	O	O	O	I	ml	L	motherless-dis-weak	mm	L	dis-weak	mm	L	dis-weak	mm	U	mm	W	W	H		13.3868	13.553872	167.072000000001	182.64266666666688	80.36940699290484	80.409122753858
D0001	3	10	 			 	 																																																							
D0001	3	11	je	$L2	B	je	je	Cl			1	sg		13	para_disfl					13	para_disfl	15	sub_inherited			U	I	I	O	O	O	O	O	O	O	O	O	O	O	I	ml	B	lone-dis-strong	mm	B	dis-strong	mm	B	dis-strong	mm	U	mm	0	0	H		13.553872	13.7668	212.92799999999977	198.01800000000026	80.34692651600899	80.420625689057
D0001	3	12	 			 	 																																																							
D0001	3	13	je	$L2	B	je	je	Cl			1	sg		15	sub	15	sub									U	I	I	O	O	O	O	O	O	O	O	O	O	O	I	ml	I	lone-dis-strong	mm	I	dis-strong	mm	I	dis-strong	mm	U	mm	0	0	H		13.7668	13.9768	210.00000000000085	227.50000000000003	80.56640346868708	80.10410110390384
D0001	3	14	 			 	 																																																							
D0001	3	15	prends	$L2	B	prends	prendre	V	indicative	present	1	sg		9	para_reform					9	para_reform	0	root_inherited			I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	ml	I	lone-dis-strong	mm	I	dis-strong	mm	I	dis-strong	mm	B	mm	S	S	H		13.9768	14.2368	289.99999999999915	288.23200000000026	80.43265401775814	79.685443137273
D0001	3	16	 			 	 																																																							
D0001	3	17	le	$L2	B	le	le	D				sg	masc	19	dep	19	dep									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	ml	L	lone-dis-strong	mm	L	dis-strong	mm	L	dis-strong	mm	L	mm	0	S	H		14.2368	14.2668	289.99999999999915	288.23200000000026	80.43265401775814	79.685443137273
D0001	3	18	 			 	 																																																							
D0001	3	19	mét~	$L2	B	mét~	mét~	N				sg	masc	15	obj	15	obj									L	I	I	O	O	O	O	O	O	O	O	O	O	O	I	ml	B	lone	ml	B	strong	ml	B	strong	ml	U	mm	0	0	H		14.2668	14.5068	240.00000000000023	277.4999999999999	79.26741688894342	79.724902196615
D0001	3	20	 			 	 																																																							
D0001	3	21	je	$L2	B	je	je	Cl			1	sg		23	sub	23	sub									B	I	I	O	O	O	O	O	O	O	O	O	O	O	I	ml	I	lone	ml	I	strong	ml	I	strong	ml	B	ll	0	0	H		14.5068	14.6968	240.00000000000023	277.4999999999999	79.26741688894342	79.724902196615
D0001	3	22	 			 	 																																																							
